Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
broad,1999 chevy silverado z71 parts,None,GM makes,GMC keywords,0,8,0.00%,0.00,0.00,3.0,0,0.00,0.00%,0,0.0,0,0,gmc part
exact (close variant),genuine general motors parts,None,GM makes,GM keywords,0,2,0.00%,0.00,0.00,4.5,0,0.00,0.00%,0,0.0,0,0,genuine gm parts
phrase (close variant),general motors part number 25737275,None,GM makes,GM keywords,1,1,100.00%,0.33,0.33,5.0,0,0.00,0.00%,0,0.0,0,0,"gm ""part number"""
broad,factory replacement center console seat lid 99 06 chevy silverado gmc sierra 00 06 suburban tahoe yukon drk pewter,None,GM makes,Chevy keywords,1,113,0.88%,0.24,0.24,1.9,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
phrase,2011 gmc parts,None,GM makes,GMC keywords,0,7,0.00%,0.00,0.00,2.7,0,0.00,0.00%,0,0.0,0,0,"""gmc parts"""
broad,door latch chevy,None,GM makes,Chevy keywords,2,10,20.00%,0.22,0.44,2.6,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,gm 69973371,None,GM makes,GM keywords,1,1,100.00%,0.03,0.03,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad (session-based),auto parts warehouse,None,GM makes,Chevy keywords,1,10,10.00%,0.28,0.28,4.5,0,0.00,0.00%,0,0.0,0,0,chevy parts store
broad,door lock assembly chevy,None,GM makes,Chevy keywords,0,2,0.00%,0.00,0.00,5.5,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,chevy 95 valve covers for 119.00,None,GM makes,Chevy keywords,1,1,100.00%,0.21,0.21,4.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,saturn 94 coolant tank,None,Saturn,previous keywords,1,2,50.00%,0.28,0.28,1.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,gm chevrolet 22805434,None,GM makes,GM keywords,1,4,25.00%,0.04,0.04,4.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,12580709 gm,None,GM makes,GM keywords,1,3,33.33%,0.14,0.14,1.3,0,0.00,0.00%,0,0.0,0,0,general motors
broad,saturn sl2,None,Saturn,previous keywords,0,1,0.00%,0.00,0.00,2.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,saturn outlook battery,None,Saturn,previous keywords,1,3,33.33%,0.28,0.28,6.3,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,2005 saturn vue right fender,None,Saturn,previous keywords,1,1,100.00%,0.43,0.43,3.0,0,0.00,0.00%,0,0.0,0,0,saturn vue parts
